0x10010000  0x00000028
0x10010004  0x00000064
0x10010008  0x00000063
0x1001000C  0x00000062
0x10010010  0x00000061
0x10010014  0x00000060
0x10010018  0x0000005f
0x1001001C  0x0000005e
0x10010020  0x0000005d
0x10010024  0x0000005c
0x10010028  0x0000005b
0x1001002C  0x0000005a
0x10010030  0x00000059
0x10010034  0x00000058
0x10010038  0x00000057
0x1001003C  0x00000056
0x10010040  0x00000055
0x10010044  0x00000054
0x10010048  0x00000053
0x1001004C  0x00000052
0x10010050  0x00000051
0x10010054  0x00000050
0x10010058  0x0000004f
0x1001005C  0x0000004e
0x10010060  0x0000004d
0x10010064  0x0000004c
0x10010068  0x0000004b
0x1001006C  0x0000004a
0x10010070  0x00000049
0x10010074  0x00000048
0x10010078  0x00000047
0x1001007C  0x00000046
0x10010080  0x00000045
0x10010084  0x00000044
0x10010088  0x00000043
0x1001008C  0x00000042
0x10010090  0x00000041
0x10010094  0x00000040
0x10010098  0x0000003f
0x1001009C  0x0000003e
0x100100A0  0x0000003d
0x100100A4  0x00000000
